name,abn,total_income,taxable_income,tax_payable,income_year,postcode
1884 PTY LIMITED,83114980880,215297043,8124632.0,2367120.0,2021-22,2007
20 CASHEWS PTY LTD,16634403124,288582715,36977225.0,962761.0,2021-22,3000
21ST CENTURY RESORTS HOLDINGS PTY LIMITED,33104201014,255202722,19673962.0,5902189.0,2021-22,2065
29METALS LIMITED,95650096094,501817901,,,2021-22,3000
2SAN PTY LTD,93641633141,739184508,70223411.0,21067023.0,2021-22,2000
3M AUSTRALIA PTY LTD,90000100096,691305434,22920599.0,6876180.0,2021-22,2113
4CYTE PATHOLOGY PTY LTD,12619244852,760523141,398991550.0,119697465.0,2021-22,2000
7 HOLDINGS PTY. LTD.,31005620851,4688114379,,,2021-22,3121
A. HARTRODT AUSTRALIA PTY LTD,28000640504,137203826,3875165.0,1162550.0,2021-22,2214
A.C.N. 003 933 300 PTY LTD,58003933300,767403256,12226618.0,3667985.0,2021-22,2140
A.C.N. 085 239 998 PTY LTD,39085239998,469078115,92455519.0,26531131.0,2021-22,2086
A.C.N. 113 332 942 LIMITED,99113332942,123496898,40474543.0,10817694.0,2021-22,2000
A.C.N. 116 779 876 PTY LTD,62116779876,205230837,,,2021-22,3045
A.C.N. 166 119 133 PTY LTD,31166119133,2676985659,,,2021-22,3277
A.C.N. 169 231 172 PTY LTD,34169231172,320697915,,,2021-22,3121
A.C.N. 603 303 126 PTY LTD,98603303126,127199861,,,2021-22,3000
A.C.N. 630 698 716 PTY LTD,18630698716,147561238,,,2021-22,4000
A2 AUSTRALIAN INVESTMENTS PTY. LIMITED.,93126014275,506187163,21624071.0,6167430.0,2021-22,2060
A2 INFANT NUTRITION LIMITED,81618864958,692545136,34182182.0,10254655.0,2021-22,2060
A2B AUSTRALIA LIMITED,99001958390,124290565,,,2021-22,2015
AA HOLDINGS PTY LTD,94112233744,660833621,44254768.0,13276430.0,2021-22,3066
AAPC LIMITED,87009175820,819213185,,,2021-22,2000
ABACUS GROUP HOLDINGS LIMITED,31080604619,127412802,,,2021-22,2000
ABACUS STORAGE OPERATIONS LIMITED,37112457075,221923544,18086649.0,5425995.0,2021-22,2000
ABB GROUP INVESTMENT MANAGEMENT PTY LIMITED,47082803852,708861819,26457921.0,,2021-22,2170
ABBOT POINT BULKCOAL PTY LTD,23010183534,116222721,8429207.0,2528762.0,2021-22,4805
ABBOT POINT OPERATIONS PTY LTD,58605852060,113060899,1262470.0,378741.0,2021-22,4805
ABBOTT AUSTRALASIA PTY LIMITED,95000180389,673897302,45995022.0,13798507.0,2021-22,2113
ABBVIE PTY LIMITED,48156384262,480857852,61821882.0,9556559.0,2021-22,2020
ABC REFINERY (AUSTRALIA) PTY LIMITED,86621121079,5910596849,19618279.0,5885484.0,2021-22,2204
ABC TISSUE PRODUCTS PTY LIMITED,33003085112,499604873,23435242.0,7030573.0,2021-22,2164
ABERGELDIE CONSOLIDATED PTY LTD,21143512350,361655862,9681894.0,2904568.0,2021-22,2144
ABN AMRO CLEARING SYDNEY PTY LTD,36081279889,101017636,7355264.0,2206579.0,2021-22,2000
ABN GROUP (VIC) PTY LTD,82130382188,534197221,5772709.0,1731813.0,2021-22,3008
ABN RESIDENTIAL WA PTY LTD,11008871761,368500323,,,2021-22,6007
ABP FINANCE PTY LIMITED,58139991101,359367582,42689204.0,12806761.0,2021-22,3300
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,17608552496,237840957,3487403.0,,2021-22,3000
ABT ASSOCIATES AUSTRALIA PTY LTD,72161695156,165093717,1245719.0,373716.0,2021-22,4064
ACCENT GROUP LIMITED,85108096251,1010555341,9941731.0,2982519.0,2021-22,3121
ACCENTURE AUSTRALIA HOLDINGS PTY LIMITED,61096995649,3010668488,139705777.0,39565341.0,2021-22,2000
ACCENTURE SOLUTIONS PVT LTD,46902577243,106790523,13935624.0,4180687.0,2021-22,400079
ACCIONA AGUA AUSTRALIA PTY LTD,84128531742,1397153026,2857144.0,,2021-22,3207
ACCIONA GEOTECH HOLDING PTY LTD,99616868314,986701475,,,2021-22,3205
ACCO BRANDS AUSTRALIA HOLDING PTY LIMITED,58130787923,190598942,21940063.0,6582019.0,2021-22,2148
ACER COMPUTER AUSTRALIA PTY LIMITED,78003872768,342613728,6582031.0,1974609.0,2021-22,2140
ACM AUTOS PTY LTD,66121604082,128219991,4770085.0,1431026.0,2021-22,2170
ACM HOLDINGS CO PTY LTD,42622029798,496439396,5150366.0,1545110.0,2021-22,3620
AD ASTRA HOLDINGS PTY LTD,19111061726,273845467,41211116.0,12363335.0,2021-22,2060
ADAIRS LIMITED,50147375451,492372612,62061698.0,18618509.0,2021-22,3179
ADAMA AUSTRALIA HOLDINGS PTY LTD,31108759495,315068706,14975545.0,4492664.0,2021-22,2065
ADAMS GROUP AUS HOLDINGS PTY LIMITED,13637089162,133076195,,,2021-22,3000
ADAPT-A-LIFT GROUP PTY LTD,81605149568,262427299,,,2021-22,3171
ADBRI LIMITED,15007596018,1646004767,101570757.0,28007806.0,2021-22,5000
ADCO CONSTRUCTIONS PTY LIMITED,46001044391,822904165,40989225.0,6287430.0,2021-22,2060
ADCO GROUP PTY LIMITED,15094531272,402528212,4202460.0,1260738.0,2021-22,3205
ADCOME PTY LTD,99110315681,497847681,20517440.0,6155232.0,2021-22,4509
ADCORP HOLDINGS AUSTRALIA PTY LTD,91161583893,368605396,16655856.0,4764131.0,2021-22,3008
ADECCO HOLDINGS PTY LTD,11003652088,663850504,,,2021-22,2000
ADIDAS AUSTRALIA PTY LTD,80058390659,488983686,60133831.0,18040149.0,2021-22,3170
ADM TRADING AUSTRALIA PTY LTD,92126806979,1507551314,,,2021-22,5000
ADOBE SYSTEMS PTY LTD,72054247835,801389002,37910577.0,11373173.0,2021-22,2000
ADORE BEAUTY GROUP LIMITED,78636138988,199685357,,,2021-22,3070
ADRAD HOLDINGS LIMITED,51121033396,128315887,17122883.0,5129904.0,2021-22,5009
ADT GROUP HOLDINGS PTY LTD,35144849436,219936115,26817823.0,7975569.0,2021-22,3121
